Date,Bridgewater All Weather 12% Strategy
1996-06-01,2.06
1996-07-01,-2.9
1996-08-01,4.89
1996-09-01,8.71
1996-10-01,1.33
1996-11-01,5.93
1996-12-01,0.16
1997-01-01,2.7
1997-02-01,-1.9
1997-03-01,-7.77
1997-04-01,4.24
1997-05-01,4.59
1997-06-01,2.24
1997-07-01,8.67
1997-08-01,-3.35
1997-09-01,6.59
1997-10-01,0.9
1997-11-01,-1.35
1997-12-01,-0.46
1998-01-01,0.0
1998-02-01,0.34
1998-03-01,2.58
1998-04-01,0.04
1998-05-01,-1.94
1998-06-01,0.85
1998-07-01,-1.54
1998-08-01,-10.08
1998-09-01,10.03
1998-10-01,2.31
1998-11-01,0.42
1998-12-01,-5.26
1999-01-01,4.79
1999-02-01,-4.2
1999-03-01,4.57
1999-04-01,7.49
1999-05-01,-5.99
1999-06-01,-0.16
1999-07-01,-0.09
1999-08-01,1.1
1999-09-01,3.7
1999-10-01,1.25
1999-11-01,1.47
1999-12-01,2.33
2000-01-01,-2.07
2000-02-01,2.58
2000-03-01,2.61
2000-04-01,-2.83
2000-05-01,1.36
2000-06-01,5.23
2000-07-01,-2.96
2000-08-01,1.77
2000-09-01,-2.24
2000-10-01,-1.43
2000-11-01,4.15
2000-12-01,3.47
2001-01-01,0.53
2001-02-01,-1.69
2001-03-01,-5.03
2001-04-01,2.2
2001-05-01,-1.3
2001-06-01,-1.87
2001-07-01,1.18
2001-08-01,2.16
2001-09-01,-5.11
2001-10-01,4.33
2001-11-01,-1.61
2001-12-01,-1.5
2002-01-01,-1.68
2002-02-01,2.93
2002-03-01,2.48
2002-04-01,1.71
2002-05-01,0.82
2002-06-01,-0.55
2002-07-01,-2.42
2002-08-01,4.83
2002-09-01,-0.1
2002-10-01,-1.26
2002-11-01,2.15
2002-12-01,2.48
2003-01-01,0.47
2003-02-01,4.1
2003-03-01,-4.05
2003-04-01,1.9
2003-05-01,9.31
2003-06-01,-1.83
2003-07-01,-3.81
2003-08-01,3.17
2003-09-01,2.78
2003-10-01,0.54
2003-11-01,0.3
2003-12-01,4.45
2004-01-01,0.77
2004-02-01,5.05
2004-03-01,2.13
2004-04-01,-5.98
2004-05-01,1.66
2004-06-01,0.4
2004-07-01,0.8
2004-08-01,4.15
2004-09-01,2.88
2004-10-01,2.06
2004-11-01,1.67
2004-12-01,2.31
2005-01-01,1.38
2005-02-01,0.1
2005-03-01,0.76
2005-04-01,1.1
2005-05-01,3.34
2005-06-01,3.18
2005-07-01,-0.09
2005-08-01,4.02
2005-09-01,0.13
2005-10-01,-4.54
2005-11-01,2.2
2005-12-01,3.76
2006-01-01,1.04
2006-02-01,-1.59
2006-03-01,-2.51
2006-04-01,-0.95
2006-05-01,-1.07
2006-06-01,-0.06
2006-07-01,3.16
2006-08-01,3.09
2006-09-01,-0.65
2006-10-01,1.05
2006-11-01,2.8
2006-12-01,-4.25
2007-01-01,-1.18
2007-02-01,4.0
2007-03-01,-0.94
2007-04-01,1.06
2007-05-01,-2.66
2007-06-01,-2.47
2007-07-01,3.88
2007-08-01,1.4
2007-09-01,2.92
2007-10-01,4.68
2007-11-01,1.67
2007-12-01,-0.78
2008-01-01,1.76
2008-02-01,2.76
2008-03-01,-0.3
2008-04-01,-0.71
2008-05-01,-0.51
2008-06-01,-0.02
2008-07-01,-2.01
2008-08-01,2.66
2008-09-01,-11.69
2008-10-01,-22.56
2008-11-01,3.14
2008-12-01,3.88
2009-01-01,0.29
2009-02-01,-0.48
2009-03-01,1.59
2009-04-01,-0.85
2009-05-01,0.02
2009-06-01,0.61
2009-07-01,2.55
2009-08-01,2.46
2009-09-01,2.44
2009-10-01,0.36
2009-11-01,4.75
2009-12-01,-2.77
2010-01-01,0.64
2010-02-01,1.34
2010-03-01,2.45
2010-04-01,3.51
2010-05-01,0.31
2010-06-01,1.42
2010-07-01,3.27
2010-08-01,5.02
2010-09-01,3.21
2010-10-01,1.81
2010-11-01,-3.54
2010-12-01,0.17
2011-01-01,-0.49
2011-02-01,2.14
2011-03-01,0.16
2011-04-01,4.63
2011-05-01,1.86
2011-06-01,0.07
2011-07-01,6.25
2011-08-01,0.98
2011-09-01,-2.88
2011-10-01,4.1
2011-11-01,-1.03
2011-12-01,2.51
2012-01-01,4.73
2012-02-01,0.99
2012-03-01,-1.65
2012-04-01,2.28
2012-05-01,0.97
2012-06-01,0.67
2012-07-01,3.85
2012-08-01,0.79
2012-09-01,1.26
2012-10-01,-0.51
2012-11-01,2.01
2012-12-01,0.17
2013-01-01,-0.68
2013-02-01,0.21
2013-03-01,1.11
2013-04-01,2.97
2013-05-01,-5.69
2013-06-01,-7.26
2013-07-01,2.83
2013-08-01,-1.68
2013-09-01,3.02
2013-10-01,3.03
2013-11-01,-1.29
2013-12-01,-0.6
2014-01-01,0.02
2014-02-01,4.17
2014-03-01,0.33
2014-04-01,2.11
2014-05-01,2.65
2014-06-01,1.46
2014-07-01,-0.62
2014-08-01,2.61
2014-09-01,-4.21
2014-10-01,1.31
2014-11-01,1.28
2014-12-01,-2.53
2015-01-01,3.48
2015-02-01,1.31
2015-03-01,-0.45
2015-04-01,1.55
2015-05-01,-1.4
2015-06-01,-3.78
2015-07-01,-0.59
2015-08-01,-4.89
2015-09-01,-2.33
2015-10-01,4.08
2015-11-01,-1.84
2015-12-01,-3.3
2016-01-01,-1.3
2016-02-01,0.57
2016-03-01,3.58
2016-04-01,2.18
2016-05-01,0.41
2016-06-01,4.35
2016-07-01,2.87
2016-08-01,-0.1
2016-09-01,0.9
2016-10-01,-1.93
2016-11-01,-2.22
2016-12-01,1.97
2017-01-01,1.44
2017-02-01,2.24
2017-03-01,-0.09
